"island","site","colony","coral_type","coral_cover","echantillons","morphotype_1","morphotype_2","morphotype_3","morphotype_4","morphotype_5","morphotype_6","morphotype_7","morphotype_8","morphotype_9","morphotype_10","morphotype_11","morphotype_12","morphotype_13","morphotype_14","morphotype_15","morphotype_16","morphotype_17","morphotype_18","morphotype_19","morphotype_20","morphotype_21","morphotype_22","morphotype_23","morphotype_24","morphotype_25","morphotype_26","morphotype_27","morphotype_28","morphotype_29","morphotype_30","morphotype_31","morphotype_32","morphotype_33","morphotype_34","morphotype_35","morphotype_36","morphotype_37","morphotype_38","morphotype_39","morphotype_40","morphotype_41","morphotype_42","morphotype_43","abondance","richesse","shannon","simpson","pielou"
"Tetiaroa","BOU","C10","A","high","BOU.C10",5,2,0,0,0,0,0,0,0,4,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,1.87056888941564,0.816608996539792,0.899553486800372
"Tetiaroa","BOU","C11","DA","high","BOU.C11",0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,1,4,1,3,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,21,10,2.17760449654569,0.875283446712018,0.945721616617503
"Tetiaroa","BOU","C12","D","high","BOU.C12",0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,6,1.58325845942048,0.75,0.883633370779725
"Tetiaroa","BOU","C13","D","high","BOU.C13",1,1,0,1,0,1,0,3,5,1,0,0,0,1,1,0,0,3,1,0,0,2,0,0,0,1,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,16,2.58024447632643,0.908093278463649,0.930626477569319
"Tetiaroa","BOU","C14","A","high","BOU.C14",0,4,0,0,0,1,0,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,1.64173471218752,0.776859504132231,0.916269588849909
"Tetiaroa","BOU","C15","A","high","BOU.C15",2,5,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,1.62602069242075,0.769230769230769,0.90749942743224
"Tetiaroa","BOU","C16","D","high","BOU.C16",0,0,0,0,0,1,0,1,1,2,0,3,0,0,2,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,2.10657733323212,0.86734693877551,0.958744661315413
"Tetiaroa","BOU","C17","DA","high","BOU.C17",2,0,0,0,0,4,2,0,4,1,1,0,0,0,1,0,0,0,4,0,0,3,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,13,2.4036052999746,0.897119341563786,0.937096591393674
"Tetiaroa","BOU","C18","DA","high","BOU.C18",0,1,0,0,0,3,1,2,6,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,9,1.99574330560432,0.839002267573696,0.908301921519481
"Tetiaroa","BOU","C2","DA","high","BOU.C2",0,2,0,0,0,1,0,3,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,1.89036277533887,0.8203125,0.909072333820828
